State,p_county,ylat,xlong,p_year,p_cap_ac,p_cap_dc,Average GDP from 2010 to 2020(unit 1 million dollar),% Sun,Total Hours,Clear Days,Population,Empolyment Number,consumption (MWh),expenditures ('000 $),house_price
AZ,Cochise,32.068285,-109.888694,2017,20,24.7,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Pinal,32.875696,-111.546455,2018,20,30.9,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Pima,32.365016,-112.831304,2011,4.5,5,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Mohave,35.241588,-114.004585,2011,1,1.2,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AZ,Pima,32.099521,-110.811275,2010,1.2,1.6,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Cochise,32.268153,-110.151375,2016,30,37.7,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Maricopa,33.268352,-111.613368,2012,19,25.2,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Yuma,33.026566,-113.356482,2013,14,21,248137.0958,85,3806,193,203292,85072,844392,110150,"245,050"
AZ,Maricopa,33.82314,-112.24089,2012,6,7.6,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.101847,-110.813116,2014,1,1,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.107057,-110.824225,2011,1.9,2,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Maricopa,33.331271,-112.923389,2016,100.8,136.5,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Maricopa,33.034607,-112.661625,2011,17,21,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.289889,-111.032982,2010,0.9,1.1,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Yuma,33.027149,-113.348204,2012,16,39.6,248137.0958,85,3806,193,203292,85072,844392,110150,"245,050"
AZ,Yuma,32.686077,-114.495993,2015,5.7,5,248137.0958,85,3806,193,203292,85072,844392,110150,"245,050"
AZ,Pinal,32.868853,-111.771846,2011,2,2.2,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Pima,32.117216,-110.819418,2012,4.5,5,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Maricopa,33.356339,-111.803663,2011,2.5,2.5,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Maricopa,33.354277,-112.839341,2020,158,199.2,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,La Paz,33.771081,-113.654525,2020,32.5,42,248137.0958,85,3806,193,20304,7659,93502,12069,"153,310"
AZ,Pinal,32.85423,-111.502706,2021,100,135,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Navajo,36.787247,-110.2405,2019,55.3,76.3,248137.0958,85,3806,193,108209,38302,257304,32704,"236,800"
AZ,Maricopa,33.319211,-112.816655,2021,150,199.2,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.034942,-110.898385,2021,130,135,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Yavapai,34.677792,-112.40593,2002,3,3.4,248137.0958,85,3806,193,218586,120306,862187,112587,"512,040"
AZ,Maricopa,33.417858,-112.574539,2011,3.3,4.3,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pinal,32.831954,-111.573906,2020,100,121.4,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Mohave,34.994777,-114.553771,2016,10,13.8,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AZ,Pima,32.141669,-110.883906,2022,12.5,15.6,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Cochise,31.555551,-110.320155,2017,17.7,22.2,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Maricopa,33.345243,-111.601785,2013,4,4.1,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.242474,-111.258304,2022,3,3.8,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.105004,-110.822521,2012,5,6.1,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.101778,-110.819001,2019,2,2.5,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Mohave,35.303874,-114.01518,2017,4.4,5,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AR,Calhoun,33.637733,-92.703473,2015,12.5,16.6,97199.11667,61,2771,123,115883,71664,648757,82123,"184,640"
AR,Arkansas,34.439473,-91.440052,2018,81,125.6,97199.11667,61,2771,123,18569,17371,103617,10641,"162,730"
AR,Washington,36.080038,-94.065986,2019,5,5.8,97199.11667,61,2771,123,16909,9915,92570,11752,"152,550"
AR,Washington,36.164209,-94.082412,2016,1,1.7,97199.11667,61,2771,123,16909,9915,92570,11752,"152,550"
AR,Saline,34.638448,-92.578479,2017,1,1.5,97199.11667,61,2771,123,115577,43365,586194,60151,"262,770"
AR,Johnson,35.467069,-93.515203,2017,5,6.5,97199.11667,61,2771,123,26025,14528,135413,13678,"154,320"
AR,Chicot,33.479286,-91.358479,2020,100,140,97199.11667,61,2771,123,11189,3785,60549,6217,"101,030"
AR,Washington,36.070581,-94.233524,2019,5,5.8,97199.11667,61,2771,123,16909,9915,92570,11752,"152,550"
AR,St. Francis,34.985351,-90.800303,2021,1,1.3,97199.11667,61,2771,123,27023,11033,121084,12434,"97,040"
AR,St. Francis,35.03992,-90.806966,2021,1,1.3,97199.11667,61,2771,123,27023,11033,121084,12434,"97,040"
AR,Franklin,35.307688,-93.924372,2021,5,6.3,97199.11667,61,2771,123,31573,19247,168207,20663,"146,540"
AR,Garland,34.415717,-93.201249,2021,1,1.3,97199.11667,61,2771,123,97119,66016,523473,53747,"229,360"
AR,White,35.220318,-91.692678,2019,100,145.2,97199.11667,61,2771,123,78823,43036,395354,40594,"214,880"
AR,Johnson,35.469595,-93.444894,2020,2.2,2.8,97199.11667,61,2771,123,26025,14528,135413,13678,"154,320"
AR,Logan,35.300128,-93.737387,2020,1.5,1.8,97199.11667,61,2771,123,21935,8091,112581,10726,"151,620"
CA,Fresno,36.177598,-120.109391,2012,20,26.8,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,San Diego,33.26524,-116.327979,2014,6.3,8.9,2016849.929,68,3055,146,3253356,2496738,5828515,1201283,"1,023,450"
CA,Los Angeles,34.707428,-118.304671,2013,20,25.6,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Los Angeles,34.708588,-118.274109,2013,1.5,2,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Fresno,36.175836,-120.115552,2013,20,27.7,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Kern,34.903488,-118.242989,2014,20,20.9,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,Madera,36.941045,-120.046435,2011,1,1.1,2016849.929,68,3055,146,153366,53336,354963,70683,"481,490"
CA,Imperial,32.967109,-115.532695,2011,1,1.2,2016849.929,68,3055,146,178807,65887,578179,72723,"342,360"
CA,Tulare,35.801176,-119.110889,2010,1,1.1,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Los Angeles,34.665582,-118.288133,2013,1.5,1.8,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Kings,35.990852,-120.106656,2011,6,7,2016849.929,68,3055,146,150261,47644,340481,61634,"384,330"
CA,San Bernardino,34.552307,-117.456763,2013,1.5,1.9,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Sacramento,38.253092,-121.279023,2011,2.9,3.7,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Kern,35.017969,-118.171566,2014,10,11.1,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,San Bernardino,34.50918,-117.153822,2013,1,1.4,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Riverside,33.923347,-116.594548,2012,2.4,2.4,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,Los Angeles,34.618626,-117.939522,2012,2,2.3,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Los Angeles,34.655113,-118.051145,2013,2,2.6,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,San Bernardino,34.166356,-116.235876,2014,18.5,24.1,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Tulare,36.387268,-119.255203,2014,3.5,4.2,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Los Angeles,34.654388,-117.971144,2012,1.3,1.7,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Yolo,38.50153,-121.693001,2013,2.5,2.5,2016849.929,68,3055,146,209671,125575,440439,87040,"671,310"
CA,Los Angeles,34.650621,-118.051936,2013,1.5,2,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Sacramento,38.237911,-121.338061,2011,2.9,3.7,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Los Angeles,34.647943,-118.061071,2013,4,5.4,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Tulare,36.211927,-119.133777,2014,4,4.8,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Solano,38.231937,-122.092698,2008,0.9,1.1,2016849.929,68,3055,146,429596,222300,939348,187057,"668,950"
CA,Riverside,33.565188,-114.918553,2012,4,4.6,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,San Bernardino,34.594302,-117.194878,2009,0.9,1.1,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Solano,38.410856,-121.926425,2009,2,2.6,2016849.929,68,3055,146,429596,222300,939348,187057,"668,950"
CA,Riverside,33.923044,-116.530143,2013,2.2,2.9,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,San Bernardino,34.601219,-117.643653,2013,2,2.7,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Los Angeles,34.64378,-118.162135,2014,4,5.1,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Fresno,36.759626,-120.365926,2010,5,6.3,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Kings,35.985182,-120.101408,2011,20,25,2016849.929,68,3055,146,150261,47644,340481,61634,"384,330"
CA,San Bernardino,34.853599,-116.683863,2013,1.5,1.6,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Imperial,32.983337,-115.481892,2014,6,7.5,2016849.929,68,3055,146,178807,65887,578179,72723,"342,360"
CA,Los Angeles,34.669019,-118.061156,2013,1.5,2,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,Sacramento,38.338753,-121.431259,2011,1,1.2,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Tulare,36.538178,-119.426157,2011,1,1.2,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
