case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
404696,single,64516,NC,Randolph,35.720172,-79.908406,30692,20230625,4,Lowe Solar Energy Storage,2020,CPLE,PV,c-si,fixed-tilt,180,,batteries,2,2.5,greenfield,non-agrivoltaic,0.246905
404712,single,64640,NC,Madison,35.886258,-82.825483,40971,20240105,4,Hot Springs Energy Storage & Microgrid,2022,CPLW,PV,c-si,fixed-tilt,25,,batteries,1.9,2.7,greenfield,non-agrivoltaic,-0.082638
404722,multi,64683,NC,Currituck,36.505888,-76.198044,2468123,20240329,4,"Oak Trail Solar, LLC",2017,PJM,PV,,"fixed-tilt,single-axis",180,,,100,100,greenfield,non-agrivoltaic,-0.62041
404725,multi,64702,NC,Stanly,35.296843,-80.234155,832652,20230816,4,"Stanly Solar, LLC",2021,DUK,PV,c-si,single-axis,180,,,50,69.89,greenfield,non-agrivoltaic,0.299505
404750,multi,64910,NC,Caldwell,35.814544,-81.371691,158658,20231119,4,Brighter Future Solar,2023,DUK,PV,c-si,fixed-tilt,242,,,11,15.7,greenfield,non-agrivoltaic,0.61769
404785,multi,65106,NC,Nash,35.883699,-78.156953,1819799,20230127,4,"Phobos Solar, LLC",2023,CPLE,PV,,single-axis,180,,,78.8,78.8,greenfield,non-agrivoltaic,-0.56141
404786,multi,65107,NC,Montgomery,35.34101,-79.737705,1574800,20230916,4,"Cabin Creek Solar, LLC",2021,CPLE,PV,,single-axis,180,,,70.2,70.2,greenfield,non-agrivoltaic,-0.534384
404419,multi,65110,NC,Randolph,35.860302,-79.579462,127206,20220302,2,Ridgeback,2021,CPLE,PV,,single-axis,180,,,2.6,2.6,greenfield,non-agrivoltaic,-1.045778
404848,single,65470,NC,Nash,36.089383,-77.724775,35077,20240208,4,Cummins Whitakers PV Arrays,2022,PJM,PV,c-si,fixed-tilt,180,,,2.9,3.6,greenfield,non-agrivoltaic,0.695573
404912,single,65819,NC,Cleveland,35.312386,-81.592479,28270,20230721,4,"233 Randolph 74 Solar I, LLC",2023,DUK,PV,c-si,fixed-tilt,356,,,2,2.6,greenfield,non-agrivoltaic,0.469682
404941,multi,66055,NC,Columbus,34.338138,-78.74768,98325,20231123,4,"Cathcart Solar, LLC",2022,DUK,PV,,single-axis,180,,,5,5,greenfield,non-agrivoltaic,-0.401442
